"year","departamento","codigo","diagnostico","total","Mujer1","Hombre1","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre"
2012,"EL PROGRESO","B:82","Parasitosis intestinales, sin otra especificación"," 2,994   "," 1   "," -     "," 3   "," 2   "," 48   "," 38   "," 429   "," 431   "," 356   "," 310   "," 214   "," 208   "," 147   "," 79   "," 91   "," 23   "," 94   "," 21   "," 81   "," 29   "," 68   "," 20   "," 51   "," 9   "," 35   "," 19   "," 31   "," 16   "," 35   "," 12   "," 23   "," 8   "," 16   "," 6   "," 20   "," 20   "
2012,"EL PROGRESO","B:49","Micosis, no especificada"," 2,909   "," 9   "," 6   "," 7   "," 9   "," 87   "," 86   "," 261   "," 242   "," 145   "," 125   "," 137   "," 112   "," 147   "," 79   "," 152   "," 67   "," 137   "," 61   "," 143   "," 56   "," 132   "," 42   "," 111   "," 40   "," 106   "," 39   "," 70   "," 36   "," 56   "," 16   "," 38   "," 21   "," 37   "," 16   "," 44   "," 37   "
2012,"EL PROGRESO","E:14","Diabetes mellitus, no especificada"," 2,758   "," -     "," -     "," -     "," -     "," -     "," 8   "," 5   "," 10   "," -     "," 1   "," 2   "," -     "," 9   "," 6   "," 8   "," 5   "," 33   "," 12   "," 55   "," 14   "," 162   "," 23   "," 171   "," 43   "," 208   "," 61   "," 322   "," 63   "," 356   "," 101   "," 362   "," 100   "," 251   "," 64   "," 227   "," 76   "
2012,"EL PROGRESO","J:18","Neumonía, organismo no especificado"," 2,754   "," 7   "," 8   "," 16   "," 19   "," 218   "," 321   "," 414   "," 613   "," 152   "," 179   "," 52   "," 86   "," 52   "," 29   "," 45   "," 13   "," 53   "," 20   "," 39   "," 6   "," 40   "," 14   "," 47   "," 8   "," 52   "," 10   "," 32   "," 17   "," 17   "," 13   "," 25   "," 9   "," 20   "," 21   "," 50   "," 37   "
2012,"EL PROGRESO","I:10","Hipertensión esencial (primaria)"," 2,691   "," -     "," -     "," -     "," -     "," -     "," 2   "," 3   "," 2   "," 5   "," 1   "," 6   "," 3   "," 22   "," 8   "," 30   "," 7   "," 63   "," 9   "," 87   "," 9   "," 96   "," 29   "," 144   "," 35   "," 190   "," 54   "," 230   "," 32   "," 273   "," 56   "," 244   "," 54   "," 202   "," 94   "," 447   "," 254   "
2012,"EL PROGRESO","A:06","Amebiasis"," 2,683   "," 1   "," -     "," 2   "," 1   "," 87   "," 88   "," 413   "," 402   "," 223   "," 197   "," 128   "," 116   "," 91   "," 44   "," 104   "," 49   "," 120   "," 33   "," 81   "," 25   "," 77   "," 25   "," 51   "," 20   "," 47   "," 21   "," 45   "," 13   "," 30   "," 18   "," 28   "," 17   "," 22   "," 8   "," 33   "," 23   "
2012,"EL PROGRESO","D:64","Otras anemias"," 2,649   "," 1   "," 2   "," 3   "," 1   "," 26   "," 28   "," 133   "," 144   "," 162   "," 152   "," 225   "," 124   "," 275   "," 37   "," 278   "," 24   "," 187   "," 18   "," 144   "," 16   "," 132   "," 16   "," 102   "," 27   "," 62   "," 19   "," 51   "," 10   "," 52   "," 8   "," 35   "," 17   "," 29   "," 13   "," 59   "," 37   "
2012,"EL PROGRESO","T:14","Traumatismo de regiones no especificadas del cuerpo"," 2,108   "," -     "," 1   "," 1   "," 2   "," 4   "," 5   "," 78   "," 120   "," 87   "," 167   "," 82   "," 177   "," 68   "," 155   "," 66   "," 142   "," 61   "," 99   "," 55   "," 100   "," 52   "," 58   "," 35   "," 68   "," 28   "," 43   "," 28   "," 36   "," 25   "," 46   "," 39   "," 37   "," 15   "," 32   "," 45   "," 51   "
2012,"EL PROGRESO","H:10","Conjuntivitis"," 1,886   "," 19   "," 17   "," 13   "," 8   "," 92   "," 99   "," 146   "," 203   "," 90   "," 105   "," 71   "," 51   "," 61   "," 36   "," 61   "," 32   "," 59   "," 36   "," 72   "," 34   "," 49   "," 28   "," 39   "," 33   "," 35   "," 22   "," 42   "," 33   "," 34   "," 24   "," 27   "," 13   "," 21   "," 29   "," 83   "," 69   "
2012,"EL PROGRESO","R:51","Cefalea"," 1,867   "," -     "," -     "," -     "," -     "," 1   "," -     "," 12   "," 18   "," 38   "," 21   "," 85   "," 54   "," 193   "," 27   "," 231   "," 24   "," 191   "," 19   "," 162   "," 20   "," 160   "," 14   "," 100   "," 20   "," 90   "," 21   "," 68   "," 25   "," 48   "," 12   "," 72   "," 14   "," 30   "," 12   "," 50   "," 35   "
2012,"EL PROGRESO","H:66","Otitis media supurativa y la no especificada"," 1,763   "," 4   "," 5   "," 6   "," 3   "," 45   "," 53   "," 161   "," 150   "," 171   "," 156   "," 92   "," 83   "," 78   "," 52   "," 80   "," 39   "," 97   "," 23   "," 58   "," 29   "," 56   "," 31   "," 49   "," 28   "," 34   "," 14   "," 31   "," 13   "," 20   "," 25   "," 10   "," 19   "," 6   "," 5   "," 17   "," 20   "
2012,"EL PROGRESO","T:78","Efectos adversos, no clasificados en otra parte"," 1,524   "," -     "," 1   "," 4   "," 5   "," 41   "," 45   "," 144   "," 185   "," 60   "," 84   "," 71   "," 59   "," 70   "," 41   "," 75   "," 26   "," 80   "," 20   "," 57   "," 23   "," 66   "," 10   "," 49   "," 21   "," 36   "," 15   "," 31   "," 15   "," 35   "," 10   "," 29   "," 11   "," 19   "," 9   "," 47   "," 30   "
2012,"EL PROGRESO","L:01","Impétigo"," 1,465   "," 3   "," 1   "," 3   "," 2   "," 82   "," 96   "," 245   "," 325   "," 146   "," 133   "," 68   "," 41   "," 28   "," 30   "," 27   "," 21   "," 22   "," 11   "," 18   "," 12   "," 30   "," 5   "," 13   "," 7   "," 11   "," 8   "," 12   "," 6   "," 8   "," 9   "," 12   "," 2   "," 11   "," 2   "," 8   "," 7   "
2012,"ESCUINTLA","R:69","Causas de morbilidad desconocidas y no especificadas"," 81,659   "," 419   "," 441   "," 417   "," 539   "," 1,091   "," 1,319   "," 2,340   "," 3,004   "," 1,872   "," 2,511   "," 2,231   "," 1,949   "," 9,752   "," 1,495   "," 10,610   "," 1,373   "," 6,994   "," 1,252   "," 5,212   "," 1,053   "," 4,010   "," 1,107   "," 3,167   "," 1,023   "," 2,294   "," 808   "," 2,056   "," 963   "," 1,890   "," 969   "," 1,506   "," 806   "," 1,121   "," 684   "," 1,735   "," 1,646   "
2012,"ESCUINTLA","J:00","Rinofaringitis aguda [resfriado común]"," 71,079   "," 503   "," 530   "," 657   "," 755   "," 6,001   "," 6,246   "," 10,712   "," 11,136   "," 5,109   "," 4,820   "," 2,431   "," 2,074   "," 2,493   "," 850   "," 2,556   "," 630   "," 2,079   "," 563   "," 1,723   "," 447   "," 1,413   "," 401   "," 1,100   "," 283   "," 826   "," 294   "," 697   "," 303   "," 559   "," 276   "," 463   "," 256   "," 364   "," 235   "," 694   "," 600   "
2012,"ESCUINTLA","N:39","Otros trastornos del sistema urinario"," 46,706   "," 55   "," 49   "," 79   "," 79   "," 808   "," 799   "," 2,384   "," 1,878   "," 2,232   "," 1,395   "," 2,146   "," 972   "," 4,516   "," 708   "," 5,377   "," 712   "," 4,635   "," 610   "," 3,952   "," 573   "," 2,987   "," 483   "," 2,172   "," 345   "," 1,503   "," 295   "," 1,166   "," 296   "," 805   "," 271   "," 535   "," 239   "," 405   "," 187   "," 610   "," 448   "
2012,"ESCUINTLA","J:03","Amigdalitis aguda"," 33,944   "," 27   "," 25   "," 55   "," 65   "," 970   "," 1,056   "," 3,503   "," 3,858   "," 2,845   "," 2,588   "," 1,785   "," 1,594   "," 1,744   "," 834   "," 1,979   "," 657   "," 1,808   "," 525   "," 1,570   "," 429   "," 1,241   "," 402   "," 916   "," 304   "," 687   "," 229   "," 496   "," 186   "," 356   "," 170   "," 260   "," 125   "," 161   "," 118   "," 215   "," 161   "
2012,"ESCUINTLA","B:82","Parasitosis intestinales, sin otra especificación"," 20,509   "," 7   "," 9   "," 9   "," 2   "," 204   "," 189   "," 2,603   "," 2,619   "," 3,392   "," 3,230   "," 1,470   "," 1,585   "," 654   "," 291   "," 619   "," 244   "," 545   "," 170   "," 418   "," 156   "," 376   "," 124   "," 264   "," 85   "," 201   "," 99   "," 188   "," 75   "," 129   "," 73   "," 97   "," 55   "," 75   "," 53   "," 113   "," 86   "
2012,"ESCUINTLA","T:14","Traumatismo de regiones no especificadas del cuerpo"," 19,859   "," 3   "," 10   "," 3   "," 6   "," 42   "," 63   "," 639   "," 933   "," 943   "," 1,909   "," 701   "," 2,074   "," 575   "," 1,671   "," 542   "," 1,425   "," 435   "," 951   "," 400   "," 693   "," 382   "," 601   "," 373   "," 494   "," 313   "," 364   "," 370   "," 389   "," 294   "," 336   "," 290   "," 254   "," 253   "," 208   "," 497   "," 423   "
2012,"ESCUINTLA","K:29","Gastritis y duodenitis"," 18,848   "," 1   "," 2   "," 2   "," 2   "," 19   "," 9   "," 74   "," 43   "," 175   "," 94   "," 749   "," 312   "," 1,753   "," 392   "," 2,002   "," 425   "," 1,959   "," 370   "," 1,751   "," 367   "," 1,533   "," 323   "," 1,114   "," 263   "," 942   "," 247   "," 767   "," 237   "," 596   "," 225   "," 440   "," 162   "," 382   "," 145   "," 603   "," 368   "
2012,"ESCUINTLA","A:06","Amebiasis"," 18,170   "," 2   "," 8   "," 13   "," 17   "," 411   "," 452   "," 2,257   "," 2,373   "," 1,517   "," 1,424   "," 708   "," 567   "," 759   "," 354   "," 948   "," 429   "," 903   "," 366   "," 747   "," 285   "," 607   "," 258   "," 459   "," 182   "," 374   "," 144   "," 313   "," 130   "," 239   "," 120   "," 168   "," 78   "," 148   "," 68   "," 175   "," 167   "
2012,"ESCUINTLA","A:09","Diarrea y gastroenteritis de presunto origen infeccioso"," 16,753   "," 31   "," 49   "," 56   "," 61   "," 1,367   "," 1,502   "," 3,170   "," 3,524   "," 878   "," 913   "," 416   "," 457   "," 455   "," 240   "," 482   "," 205   "," 406   "," 168   "," 335   "," 125   "," 283   "," 136   "," 214   "," 87   "," 185   "," 106   "," 150   "," 72   "," 100   "," 76   "," 89   "," 55   "," 83   "," 46   "," 128   "," 103   "
2012,"ESCUINTLA","B:54","Paludismo [malaria] no especificado"," 14,522   "," 2   "," 3   "," 1   "," 3   "," 109   "," 115   "," 504   "," 559   "," 781   "," 849   "," 954   "," 1,041   "," 1,117   "," 941   "," 1,091   "," 747   "," 774   "," 571   "," 612   "," 449   "," 434   "," 344   "," 326   "," 266   "," 233   "," 237   "," 254   "," 208   "," 171   "," 156   "," 107   "," 135   "," 93   "," 93   "," 105   "," 137   "
2012,"ESCUINTLA","B:49","Micosis, no especificada"," 11,058   "," 12   "," 20   "," 15   "," 22   "," 285   "," 291   "," 792   "," 749   "," 496   "," 564   "," 515   "," 420   "," 652   "," 307   "," 804   "," 287   "," 777   "," 231   "," 628   "," 204   "," 520   "," 185   "," 415   "," 131   "," 322   "," 135   "," 255   "," 125   "," 180   "," 101   "," 127   "," 82   "," 74   "," 70   "," 129   "," 136   "
2012,"ESCUINTLA","D:64","Otras anemias"," 10,714   "," 4   "," 9   "," 19   "," 17   "," 171   "," 170   "," 457   "," 558   "," 742   "," 609   "," 727   "," 398   "," 875   "," 133   "," 913   "," 109   "," 675   "," 115   "," 561   "," 90   "," 489   "," 93   "," 397   "," 73   "," 365   "," 79   "," 298   "," 72   "," 250   "," 81   "," 206   "," 106   "," 174   "," 98   "," 339   "," 242   "
2012,"ESCUINTLA","H:66","Otitis media supurativa y la no especificada"," 10,569   "," 20   "," 20   "," 37   "," 34   "," 282   "," 362   "," 994   "," 1,063   "," 1,024   "," 984   "," 540   "," 463   "," 528   "," 270   "," 525   "," 201   "," 497   "," 193   "," 379   "," 183   "," 363   "," 161   "," 278   "," 91   "," 167   "," 109   "," 150   "," 73   "," 97   "," 71   "," 66   "," 55   "," 40   "," 54   "," 71   "," 124   "
2012,"ESCUINTLA","I:10","Hipertensión esencial (primaria)"," 10,272   "," -     "," -     "," -     "," 1   "," 6   "," 1   "," 14   "," 3   "," 13   "," 5   "," 23   "," 19   "," 151   "," 40   "," 227   "," 69   "," 288   "," 88   "," 404   "," 153   "," 553   "," 170   "," 690   "," 195   "," 749   "," 230   "," 830   "," 285   "," 814   "," 323   "," 748   "," 318   "," 626   "," 327   "," 1,173   "," 736   "
2012,"ESCUINTLA","J:98","Otros trastornos respiratorios"," 10,223   "," 18   "," 28   "," 67   "," 76   "," 689   "," 882   "," 1,592   "," 1,759   "," 786   "," 884   "," 382   "," 355   "," 209   "," 122   "," 212   "," 60   "," 215   "," 59   "," 214   "," 57   "," 184   "," 49   "," 207   "," 44   "," 188   "," 54   "," 152   "," 41   "," 105   "," 28   "," 118   "," 36   "," 72   "," 33   "," 134   "," 112   "
2012,"ESCUINTLA","J:18","Neumonía, organismo no especificado"," 9,755   "," 27   "," 29   "," 63   "," 68   "," 957   "," 1,128   "," 1,708   "," 1,843   "," 583   "," 608   "," 214   "," 270   "," 183   "," 83   "," 172   "," 63   "," 130   "," 41   "," 175   "," 57   "," 137   "," 52   "," 112   "," 37   "," 120   "," 48   "," 100   "," 47   "," 92   "," 37   "," 98   "," 39   "," 64   "," 55   "," 156   "," 159   "
2012,"ESCUINTLA","H:10","Conjuntivitis"," 9,505   "," 112   "," 136   "," 65   "," 78   "," 388   "," 470   "," 836   "," 837   "," 543   "," 521   "," 379   "," 330   "," 411   "," 229   "," 385   "," 177   "," 365   "," 164   "," 364   "," 155   "," 294   "," 159   "," 229   "," 106   "," 194   "," 119   "," 170   "," 98   "," 139   "," 104   "," 122   "," 90   "," 100   "," 112   "," 279   "," 245   "
2012,"ESCUINTLA","J:06","Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados"," 9,149   "," 83   "," 100   "," 217   "," 232   "," 759   "," 839   "," 1,433   "," 1,669   "," 847   "," 869   "," 369   "," 373   "," 122   "," 91   "," 119   "," 60   "," 97   "," 55   "," 97   "," 45   "," 89   "," 26   "," 74   "," 38   "," 60   "," 23   "," 75   "," 27   "," 50   "," 25   "," 45   "," 15   "," 25   "," 16   "," 52   "," 33   "
2012,"ESCUINTLA","J:20","Bronquitis aguda"," 9,031   "," 13   "," 19   "," 37   "," 44   "," 631   "," 719   "," 1,310   "," 1,426   "," 642   "," 607   "," 325   "," 261   "," 241   "," 117   "," 276   "," 83   "," 258   "," 70   "," 244   "," 46   "," 201   "," 65   "," 175   "," 50   "," 155   "," 39   "," 177   "," 51   "," 120   "," 56   "," 93   "," 54   "," 83   "," 45   "," 157   "," 141   "
2012,"ESCUINTLA","R:51","Cefalea"," 9,030   "," 4   "," 4   "," 2   "," 3   "," 23   "," 20   "," 89   "," 72   "," 161   "," 125   "," 394   "," 214   "," 956   "," 175   "," 1,122   "," 168   "," 1,067   "," 134   "," 844   "," 110   "," 661   "," 116   "," 527   "," 90   "," 427   "," 94   "," 334   "," 80   "," 259   "," 74   "," 177   "," 43   "," 121   "," 43   "," 181   "," 116   "
2012,"GUATEMALA","J:00","Rinofaringitis aguda [resfriado común]"," 166,593   "," 1,262   "," 1,230   "," 1,719   "," 1,868   "," 15,024   "," 15,902   "," 24,968   "," 24,839   "," 12,561   "," 12,074   "," 5,119   "," 4,634   "," 5,163   "," 2,110   "," 5,593   "," 1,556   "," 4,433   "," 1,239   "," 3,747   "," 1,082   "," 3,145   "," 918   "," 2,325   "," 726   "," 2,085   "," 640   "," 1,855   "," 600   "," 1,538   "," 512   "," 1,314   "," 460   "," 1,057   "," 375   "," 1,853   "," 1,067   "
2012,"GUATEMALA","J:03","Amigdalitis aguda"," 80,860   "," 60   "," 63   "," 132   "," 119   "," 2,650   "," 2,906   "," 10,089   "," 10,414   "," 7,646   "," 7,279   "," 4,126   "," 3,404   "," 3,535   "," 1,882   "," 3,757   "," 1,364   "," 3,305   "," 1,054   "," 3,102   "," 973   "," 2,562   "," 773   "," 1,778   "," 563   "," 1,655   "," 456   "," 1,190   "," 392   "," 896   "," 347   "," 633   "," 240   "," 450   "," 162   "," 583   "," 320   "
2012,"GUATEMALA","N:39","Otros trastornos del sistema urinario"," 60,895   "," 24   "," 10   "," 40   "," 20   "," 728   "," 539   "," 3,425   "," 1,953   "," 3,291   "," 1,570   "," 2,643   "," 980   "," 6,156   "," 743   "," 7,165   "," 700   "," 5,997   "," 610   "," 5,003   "," 632   "," 4,150   "," 530   "," 2,856   "," 406   "," 2,391   "," 405   "," 1,802   "," 327   "," 1,441   "," 318   "," 1,118   "," 264   "," 764   "," 229   "," 1,167   "," 498   "
2012,"GUATEMALA","A:09","Diarrea y gastroenteritis de presunto origen infeccioso"," 56,389   "," 117   "," 115   "," 185   "," 183   "," 4,747   "," 5,441   "," 9,687   "," 10,776   "," 2,933   "," 3,054   "," 1,432   "," 1,483   "," 1,527   "," 829   "," 1,679   "," 859   "," 1,315   "," 703   "," 1,220   "," 603   "," 991   "," 485   "," 828   "," 377   "," 747   "," 317   "," 628   "," 303   "," 469   "," 281   "," 413   "," 251   "," 337   "," 179   "," 562   "," 333   "
2012,"GUATEMALA","K:29","Gastritis y duodenitis"," 55,046   "," 12   "," 9   "," 14   "," 11   "," 102   "," 93   "," 475   "," 366   "," 1,059   "," 679   "," 2,218   "," 1,008   "," 4,689   "," 1,240   "," 5,318   "," 1,176   "," 4,988   "," 1,125   "," 4,458   "," 1,182   "," 4,109   "," 991   "," 3,163   "," 828   "," 2,903   "," 825   "," 2,361   "," 657   "," 1,897   "," 605   "," 1,618   "," 485   "," 1,153   "," 405   "," 1,998   "," 826   "
2012,"GUATEMALA","K:02","Caries dental"," 53,025   "," 4   "," 5   "," 1   "," 3   "," 59   "," 50   "," 1,450   "," 1,460   "," 6,413   "," 6,199   "," 5,605   "," 4,454   "," 2,804   "," 1,461   "," 2,954   "," 1,170   "," 2,748   "," 1,155   "," 2,498   "," 954   "," 1,994   "," 736   "," 1,548   "," 737   "," 1,176   "," 667   "," 885   "," 587   "," 657   "," 460   "," 418   "," 355   "," 301   "," 290   "," 348   "," 419   "
2012,"GUATEMALA","B:82","Parasitosis intestinales, sin otra especificación"," 36,693   "," 9   "," 15   "," 22   "," 16   "," 559   "," 592   "," 4,102   "," 4,075   "," 3,561   "," 3,149   "," 1,843   "," 1,527   "," 1,753   "," 1,163   "," 2,129   "," 1,181   "," 1,680   "," 852   "," 1,390   "," 600   "," 1,103   "," 457   "," 852   "," 322   "," 744   "," 253   "," 534   "," 184   "," 436   "," 186   "," 333   "," 113   "," 263   "," 139   "," 354   "," 202   "
2012,"GUATEMALA","J:22","Infección aguda no especificada de las vías respiratorias inferiores"," 35,343   "," 81   "," 80   "," 159   "," 145   "," 1,908   "," 2,214   "," 4,843   "," 5,197   "," 3,025   "," 2,901   "," 1,384   "," 1,283   "," 1,280   "," 673   "," 1,341   "," 539   "," 1,172   "," 507   "," 1,102   "," 432   "," 892   "," 314   "," 686   "," 210   "," 570   "," 185   "," 434   "," 166   "," 360   "," 124   "," 255   "," 110   "," 185   "," 78   "," 330   "," 178   "
2012,"GUATEMALA","J:02","Faringitis aguda"," 31,446   "," 41   "," 66   "," 80   "," 97   "," 1,463   "," 1,673   "," 3,697   "," 3,849   "," 2,571   "," 2,373   "," 1,377   "," 1,231   "," 1,252   "," 732   "," 1,391   "," 595   "," 1,186   "," 456   "," 1,169   "," 415   "," 965   "," 309   "," 726   "," 229   "," 645   "," 195   "," 555   "," 190   "," 425   "," 141   "," 351   "," 140   "," 223   "," 104   "," 340   "," 194   "
2012,"GUATEMALA","I:10","Hipertensión esencial (primaria)"," 28,529   "," 4   "," 3   "," 3   "," -     "," 18   "," 19   "," 48   "," 43   "," 76   "," 52   "," 81   "," 39   "," 185   "," 73   "," 321   "," 121   "," 444   "," 135   "," 755   "," 221   "," 1,298   "," 297   "," 1,894   "," 457   "," 2,421   "," 580   "," 2,867   "," 662   "," 2,636   "," 896   "," 2,645   "," 895   "," 2,125   "," 775   "," 3,640   "," 1,800   "
2012,"GUATEMALA","A:06","Amebiasis"," 20,596   "," 8   "," 11   "," 30   "," 27   "," 590   "," 621   "," 2,435   "," 2,422   "," 1,600   "," 1,277   "," 860   "," 670   "," 1,040   "," 536   "," 1,147   "," 526   "," 1,015   "," 374   "," 863   "," 301   "," 735   "," 238   "," 508   "," 202   "," 471   "," 149   "," 367   "," 147   "," 294   "," 124   "," 265   "," 111   "," 154   "," 70   "," 259   "," 149   "
2012,"GUATEMALA","T:14","Traumatismo de regiones no especificadas del cuerpo"," 20,400   "," 8   "," 8   "," 10   "," 5   "," 155   "," 190   "," 831   "," 1,221   "," 844   "," 1,457   "," 811   "," 1,334   "," 945   "," 1,481   "," 876   "," 1,123   "," 723   "," 855   "," 708   "," 720   "," 624   "," 554   "," 471   "," 445   "," 453   "," 375   "," 462   "," 347   "," 373   "," 265   "," 303   "," 203   "," 249   "," 182   "," 451   "," 338   "
2012,"GUATEMALA","E:14","Diabetes mellitus, no especificada"," 20,140   "," 2   "," 3   "," 2   "," 1   "," 14   "," 15   "," 45   "," 19   "," 38   "," 29   "," 55   "," 37   "," 115   "," 27   "," 210   "," 49   "," 358   "," 97   "," 624   "," 186   "," 989   "," 296   "," 1,402   "," 381   "," 2,030   "," 572   "," 2,387   "," 635   "," 2,325   "," 676   "," 1,903   "," 567   "," 1,296   "," 424   "," 1,589   "," 742   "
2012,"GUATEMALA","H:10","Conjuntivitis"," 19,968   "," 348   "," 373   "," 184   "," 176   "," 1,395   "," 1,477   "," 1,965   "," 2,136   "," 1,149   "," 1,128   "," 874   "," 578   "," 873   "," 371   "," 714   "," 341   "," 664   "," 291   "," 581   "," 271   "," 532   "," 233   "," 358   "," 190   "," 330   "," 181   "," 330   "," 164   "," 280   "," 135   "," 267   "," 118   "," 182   "," 126   "," 403   "," 250   "
2012,"GUATEMALA","T:78","Efectos adversos, no clasificados en otra parte"," 19,221   "," 46   "," 46   "," 74   "," 54   "," 905   "," 927   "," 1,966   "," 2,048   "," 1,233   "," 1,264   "," 943   "," 734   "," 972   "," 493   "," 978   "," 393   "," 855   "," 316   "," 721   "," 261   "," 645   "," 206   "," 485   "," 163   "," 447   "," 126   "," 331   "," 136   "," 298   "," 114   "," 220   "," 90   "," 187   "," 63   "," 273   "," 208   "
2012,"GUATEMALA","J:45","Asma"," 17,653   "," 10   "," 22   "," 37   "," 36   "," 634   "," 892   "," 1,803   "," 2,168   "," 1,443   "," 1,872   "," 874   "," 1,055   "," 613   "," 324   "," 604   "," 193   "," 488   "," 179   "," 537   "," 142   "," 511   "," 106   "," 413   "," 102   "," 401   "," 113   "," 330   "," 99   "," 273   "," 94   "," 285   "," 92   "," 220   "," 70   "," 407   "," 211   "
2012,"GUATEMALA","H:66","Otitis media supurativa y la no especificada"," 15,641   "," 26   "," 28   "," 39   "," 46   "," 557   "," 625   "," 1,774   "," 1,903   "," 1,629   "," 1,488   "," 804   "," 641   "," 696   "," 347   "," 616   "," 212   "," 596   "," 178   "," 548   "," 178   "," 495   "," 154   "," 366   "," 129   "," 303   "," 107   "," 220   "," 87   "," 159   "," 79   "," 134   "," 66   "," 93   "," 53   "," 158   "," 107   "
2012,"GUATEMALA","N:89","Otros trastornos no inflamatorios de la vagina"," 14,686   "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," 292   "," -     "," 1,817   "," -     "," 3,260   "," -     "," 2,773   "," -     "," 2,145   "," -     "," 1,860   "," -     "," 892   "," -     "," 798   "," -     "," 381   "," -     "," 210   "," -     "," 120   "," -     "," 75   "," -     "," 63   "," -     "
2012,"GUATEMALA","R:10","Dolor abdominal y pélvico"," 14,198   "," 157   "," 177   "," 131   "," 119   "," 243   "," 240   "," 577   "," 605   "," 859   "," 786   "," 928   "," 509   "," 1,409   "," 386   "," 1,325   "," 273   "," 1,006   "," 206   "," 903   "," 210   "," 680   "," 168   "," 509   "," 118   "," 378   "," 106   "," 262   "," 87   "," 193   "," 56   "," 140   "," 63   "," 82   "," 46   "," 167   "," 94   "
2012,"GUATEMALA","M:79","Otros trastornos de los tejidos blandos, no clasificados en otra parte"," 13,955   "," 7   "," 8   "," -     "," 1   "," 38   "," 50   "," 107   "," 93   "," 160   "," 130   "," 312   "," 217   "," 786   "," 336   "," 978   "," 248   "," 1,061   "," 258   "," 1,172   "," 295   "," 1,172   "," 304   "," 1,037   "," 230   "," 1,012   "," 268   "," 761   "," 216   "," 577   "," 213   "," 459   "," 174   "," 322   "," 159   "," 499   "," 295   "
2012,"HUEHUETENANGO","J:00","Rinofaringitis aguda [resfriado común]"," 107,270   "," 689   "," 708   "," 1,119   "," 1,219   "," 11,183   "," 10,711   "," 18,192   "," 17,234   "," 7,796   "," 6,209   "," 3,652   "," 2,329   "," 3,224   "," 903   "," 3,862   "," 730   "," 3,167   "," 582   "," 2,533   "," 541   "," 2,000   "," 538   "," 1,380   "," 403   "," 1,095   "," 337   "," 869   "," 301   "," 653   "," 281   "," 606   "," 220   "," 413   "," 236   "," 729   "," 626   "
2012,"HUEHUETENANGO","J:03","Amigdalitis aguda"," 62,025   "," 75   "," 91   "," 175   "," 196   "," 3,034   "," 3,134   "," 8,150   "," 7,961   "," 4,584   "," 3,882   "," 2,872   "," 1,881   "," 2,852   "," 1,030   "," 3,546   "," 904   "," 3,134   "," 856   "," 2,589   "," 775   "," 2,273   "," 640   "," 1,455   "," 488   "," 1,205   "," 408   "," 842   "," 296   "," 557   "," 260   "," 435   "," 185   "," 288   "," 147   "," 445   "," 380   "
2012,"HUEHUETENANGO","K:29","Gastritis y duodenitis"," 36,843   "," 2   "," 6   "," 6   "," 6   "," 64   "," 34   "," 145   "," 112   "," 334   "," 172   "," 1,032   "," 373   "," 3,181   "," 591   "," 4,960   "," 748   "," 4,538   "," 708   "," 3,829   "," 740   "," 3,728   "," 649   "," 2,311   "," 473   "," 2,027   "," 373   "," 1,231   "," 343   "," 1,054   "," 293   "," 695   "," 239   "," 451   "," 221   "," 782   "," 392   "
2012,"HUEHUETENANGO","B:82","Parasitosis intestinales, sin otra especificación"," 33,575   "," 8   "," 8   "," 16   "," 11   "," 394   "," 379   "," 6,055   "," 5,583   "," 4,617   "," 3,877   "," 2,008   "," 1,447   "," 1,083   "," 427   "," 1,279   "," 312   "," 1,037   "," 226   "," 838   "," 217   "," 744   "," 190   "," 523   "," 153   "," 417   "," 120   "," 364   "," 94   "," 230   "," 101   "," 228   "," 80   "," 130   "," 73   "," 188   "," 118   "
2012,"HUEHUETENANGO","A:09","Diarrea y gastroenteritis de presunto origen infeccioso"," 33,009   "," 104   "," 126   "," 193   "," 205   "," 4,552   "," 4,845   "," 6,896   "," 7,325   "," 1,171   "," 1,041   "," 515   "," 395   "," 545   "," 183   "," 726   "," 186   "," 640   "," 157   "," 511   "," 135   "," 441   "," 169   "," 309   "," 95   "," 246   "," 100   "," 212   "," 74   "," 147   "," 74   "," 144   "," 74   "," 110   "," 57   "," 187   "," 119   "
2012,"HUEHUETENANGO","N:39","Otros trastornos del sistema urinario"," 32,136   "," 16   "," 14   "," 30   "," 21   "," 350   "," 221   "," 1,129   "," 791   "," 857   "," 394   "," 940   "," 237   "," 3,604   "," 244   "," 4,849   "," 339   "," 4,221   "," 300   "," 3,290   "," 309   "," 3,085   "," 349   "," 1,714   "," 208   "," 1,448   "," 178   "," 853   "," 129   "," 539   "," 117   "," 360   "," 91   "," 203   "," 117   "," 350   "," 239   "
